ticket_id,user_id,created_date,priority,category,first_response_hours,resolution_hours
1,3438,2024-08-19,Low,Billing,1.3,12.3
2,26927,2022-01-18,Medium,Billing,0.9,21.1
3,30399,2023-03-07,Urgent,Billing,4.8,25.1
4,28762,2025-12-26,Medium,Integrations,15.4,13.7
5,41531,2023-11-23,High,How To,6.2,37.4
6,22768,2022-03-21,Low,How To,1.8,47.8
7,49177,2024-05-30,High,Billing,5.6,37.0
8,29995,2025-05-20,Medium,Performance,14.5,10.9
9,7704,2023-06-01,Medium,Billing,4.9,10.8
10,3352,2023-02-15,Low,Integrations,2.6,3.8
11,29325,2025-01-11,Medium,How To,17.2,44.3
12,2604,2025-06-09,Medium,Integrations,2.0,38.3
13,27499,2022-05-26,Low,Performance,1.1,34.7
14,1157,2023-05-12,Medium,How To,12.3,22.0
15,27615,2022-04-17,Medium,Billing,1.6,15.2
16,15190,2023-05-20,Medium,Performance,0.7,13.4
17,45612,2024-07-01,Low,Performance,3.8,62.7
18,7216,2025-01-07,High,Integrations,17.0,11.5
19,9144,2022-10-22,Urgent,Integrations,11.7,29.0
20,618,2024-03-14,Medium,Performance,5.1,26.0
21,13239,2024-07-07,Medium,Performance,3.0,33.3
22,16997,2024-06-03,Urgent,Billing,0.4,55.3
23,21354,2022-07-19,Medium,Billing,7.2,11.3
24,14141,2023-01-10,Medium,Billing,8.8,22.7
25,25156,2024-03-27,Medium,How To,3.2,23.1
26,32908,2024-02-04,Low,Billing,6.1,15.7
27,18979,2023-03-20,Low,Billing,11.0,5.6
28,5480,2024-08-15,High,Integrations,5.2,29.9
29,16939,2025-04-04,Medium,Integrations,6.9,15.1
30,26024,2025-10-04,Low,Performance,0.8,25.2
31,29234,2023-04-19,Medium,Integrations,5.1,16.7
32,6872,2024-09-01,Urgent,How To,1.7,17.8
33,381,2024-12-17,High,How To,8.1,8.8
34,20191,2023-08-23,Medium,Bug,8.9,22.9
35,23274,2022-12-26,Medium,How To,5.3,16.2
36,39019,2024-08-07,Medium,Billing,2.6,6.8
37,40345,2023-08-06,Low,How To,5.7,8.8
38,18952,2025-05-01,Medium,Billing,4.9,23.2
39,4334,2022-04-20,Low,Performance,2.6,22.8
40,19956,2024-09-13,High,Integrations,15.9,10.9
41,9507,2022-09-30,Low,Bug,3.7,28.6
42,46183,2023-05-25,Urgent,Performance,5.8,7.9
43,41500,2025-10-01,Low,Billing,6.5,40.7
44,11109,2025-10-24,High,Bug,2.1,38.2
45,9528,2024-01-08,Medium,Bug,1.6,17.6
46,467,2024-03-02,Urgent,Bug,5.7,13.0
47,26334,2025-04-10,Low,Bug,2.9,3.8
48,9983,2022-11-03,Medium,Bug,6.4,19.9
49,45761,2022-04-22,Medium,Billing,3.6,64.5
50,18776,2025-09-15,Low,Bug,5.8,7.2
51,24455,2022-12-28,Medium,Bug,4.0,14.3
52,1483,2023-06-01,Medium,Performance,4.1,35.0
53,31583,2023-11-23,Medium,Bug,11.8,5.2
54,39500,2025-08-10,Medium,Bug,6.1,26.4
